,P,E,Q
2008-01-01,4,27.52666728,0
2008-01-02,6.800000032,26.87666639,0
2008-01-03,5.599999905,28.49666659,0
2008-01-04,7.833333333,28.45666695,0
2008-01-05,0,31.05666606,0
2008-01-06,12.03333314,30.95999972,0
2008-01-07,10.09999975,31.22666613,0
2008-01-08,0,31.11333402,0
2008-01-09,0.966666659,28.56999969,0
2008-01-10,10.26666641,25.06999969,0
2008-01-11,5.900000095,23.68000031,0
2008-01-12,33.96666654,26.81333288,0
2008-01-13,0,28.69000053,0
2008-01-14,0,28.6899999,0
2008-01-15,28.83333333,27.16999944,0
2008-01-16,16.96666686,26.73666636,0
2008-01-17,4.46666654,26.45999972,0
2008-01-18,7.23333327,24.84333356,0
2008-01-19,3.733333349,26.67999967,0
2008-01-20,0.466666669,27.0833327,0
2008-01-21,1.333333294,29.60999997,0
2008-01-22,2.233333309,27.69000053,0
2008-01-23,3.566666762,27.05333328,0
2008-01-24,0.066666668,28.06999969,0
2008-01-25,0,29.5,0
2008-01-26,0.700000013,30.40666644,0
2008-01-27,0,29.79666646,0
2008-01-28,4.566666603,30.24666659,0
2008-01-29,0.166666669,30.28333346,0
2008-01-30,4.299999873,28.3233331,0
2008-01-31,2.566666683,28.96999995,0
2008-02-01,0.43333334,27.763333,0
2008-02-02,2.5,28.84999975,0
2008-02-03,7.033333302,28.63333321,0
2008-02-04,16.0666666,25.38333384,0
2008-02-05,2.766666651,27.54000028,0
2008-02-06,15.23333295,27.30666669,0
2008-02-07,6.166666667,31.52333387,0
2008-02-08,0,30.91666667,0
2008-02-09,1.333333333,30.67999967,0
2008-02-10,0.533333331,28.56666692,0
2008-02-11,1.866666635,22.08000056,0
2008-02-12,29.6666673,23.986667,0
2008-02-13,52.06666692,24.83666674,1.5869
2008-02-14,39.13333384,22.92333349,1.7075
2008-02-15,2.633333365,25.53999964,4.0956
2008-02-16,0,24.29666646,0.6011
2008-02-17,0.066666668,24.67000008,0.2207
2008-02-18,0.200000005,26.22333399,0.0702
2008-02-19,0.166666669,25.84333293,0.0286
2008-02-20,0,29.04333369,0.0037
2008-02-21,0.600000009,30.13666662,0
2008-02-22,0,32.40666644,0
2008-02-23,0,34.27666728,0
2008-02-24,0.333333343,29.5333341,0
2008-02-25,4.833333413,27.51999982,0
2008-02-26,0,24.58333333,0
2008-02-27,0.033333334,28.22999954,0
2008-02-28,0,26.29000028,0
2008-02-29,0,26.85000038,0
2008-03-01,0,27.15000025,0
2008-03-02,0,25.95000013,0
2008-03-03,0,25.84333356,0
2008-03-04,0.200000003,26.60333379,0
2008-03-05,0,25.84666634,0
2008-03-06,0,26.263333,0
2008-03-07,0.233333339,27.30666669,0
2008-03-08,0.100000001,27.54000028,0
2008-03-09,0.100000001,26.36999957,0
2008-03-10,1.200000008,27.63000043,0
2008-03-11,0.100000001,27.26000023,0
2008-03-12,0,26.14000003,0
2008-03-13,0,28.43000031,0
2008-03-14,0,27.66333326,0
2008-03-15,0,27.38333321,0
2008-03-16,0,27.56666629,0
2008-03-17,0.600000024,26.27333323,0
2008-03-18,1.366666675,24.01000023,0
2008-03-19,1.599999944,26.91333389,0
2008-03-20,0.333333343,26.53333346,0
2008-03-21,0.100000001,28.95000013,0
2008-03-22,0.333333338,27.07999992,0
2008-03-23,1.333333333,26.83333333,0
2008-03-24,0,27.63333384,0
2008-03-25,0,28.79333305,0
2008-03-26,0,29.47666677,0
2008-03-27,0,29.46666654,0
2008-03-28,21.66666667,23.20333354,0
2008-03-29,33.30000051,21.33333333,0
2008-03-30,0,25.58999952,0
2008-03-31,0,26.78333346,0
2008-04-01,0,26.47666677,0
2008-04-02,0,25.76999982,0
2008-04-03,0,27.70666695,0
2008-04-04,0.066666668,25.8799998,0
2008-04-05,0,25.89333344,0
2008-04-06,0,24.52666664,0
2008-04-07,0.333333343,25.2966671,0
2008-04-08,0.899999996,25.4266669,0
2008-04-09,0,24.89000003,0
2008-04-10,0.066666668,24.96666654,0
2008-04-11,0,27.00666618,0
2008-04-12,0,27.59666634,0
2008-04-13,0.066666668,27.77666728,0
2008-04-14,0,28.08666674,0
2008-04-15,0,26.34999975,0
2008-04-16,0.033333334,25.29000028,0
2008-04-17,0,24.92999967,0
2008-04-18,0,23.83333333,0
2008-04-19,1.866666635,24.91666603,0
2008-04-20,0.633333325,25.18666649,0
2008-04-21,0.166666669,25.84333356,0
2008-04-22,0,25.50333341,0
2008-04-23,1.766666651,25.11666679,0
2008-04-24,0.100000001,25.04333305,0
2008-04-25,0,25.34666634,0
2008-04-26,0,26.81333351,0
2008-04-27,0,27.69999949,0
2008-04-28,0,27.78333282,0
2008-04-29,0,22.57999992,0
2008-04-30,0,22.98000018,0
2008-05-01,0,24.51000023,0
2008-05-02,0,25.64666684,0
2008-05-03,0,26.64333344,0
2008-05-04,0,24.46000036,0
2008-05-05,0,24.51666641,0
2008-05-06,0,25.09666634,0
2008-05-07,0,25.67999967,0
2008-05-08,0,25.65333366,0
2008-05-09,0,24.15333303,0
2008-05-10,0,25.4266669,0
2008-05-11,0,24.98333295,0
2008-05-12,2.033333302,24.44333331,0
2008-05-13,0,24.26000023,0
2008-05-14,0,24.76000023,0
2008-05-15,1,24.14000003,0
2008-05-16,0,24.93000031,0
2008-05-17,0.166666669,24.8100001,0
2008-05-18,0,18.76999982,0
2008-05-19,0,21.81333351,0
2008-05-20,0,22.92333349,0
2008-05-21,0,24.14333344,0
2008-05-22,0,23.98666636,0
2008-05-23,0,21.31999969,0
2008-05-24,0,22.72000058,0
2008-05-25,0,23.22333336,0
2008-05-26,0,23.04000028,0
2008-05-27,0,22.01333364,0
2008-05-28,1.666666667,16.16999976,0
2008-05-29,8.76666673,16.35000006,0
2008-05-30,21.13333321,16.95000013,0
2008-05-31,53.66666794,18.65666644,0
2008-06-01,6.399999936,18.22333336,0
2008-06-02,18.83333333,23.82666651,0
2008-06-03,0,24.34000015,0
2008-06-04,0.100000001,23.75333341,0
2008-06-05,0.133333335,25.02000046,0
2008-06-06,0,24.27333323,0
2008-06-07,0.033333334,23.61333338,0
2008-06-08,6.73333327,21.68333371,0
2008-06-09,1.033333341,19.2966671,0
2008-06-10,0.133333335,22.25999959,0
2008-06-11,2.699999968,20.96000036,0
2008-06-12,0.233333339,23.28333346,0
2008-06-13,0,24.04999987,0
2008-06-14,0,19.00666682,0
2008-06-15,0,19.20333354,0
2008-06-16,0,20.90666707,0
2008-06-17,0,23.01333364,0
2008-06-18,0,22.99666659,0
2008-06-19,0,23.63666662,0
2008-06-20,0,23.28000005,0
2008-06-21,0,18.78000069,0
2008-06-22,0,19.57666715,0
2008-06-23,0,20.42333285,0
2008-06-24,0,19.15333303,0
2008-06-25,0,21.8233331,0
2008-06-26,0,22.16666667,0
2008-06-27,0,21.94666672,0
2008-06-28,0,21.67000008,0
2008-06-29,0,21.30666669,0
2008-06-30,0.266666676,21.51333364,0
2008-07-01,0,23.82999992,0
2008-07-02,0,22.00333341,0
2008-07-03,0,20.64666684,0
2008-07-04,0,21.15000025,0
2008-07-05,0,21.23666636,0
2008-07-06,0.966666679,17.63333384,0
2008-07-07,22.29999987,18.59999975,0
2008-07-08,12.5666666,15.36666648,0
2008-07-09,1.200000048,15.98333327,0
2008-07-10,0,17.95666695,0
2008-07-11,0,18.1899999,0
2008-07-12,0,20.47999954,0
2008-07-13,1.066666683,20.06666692,0
2008-07-14,1.700000008,24.51666705,0
2008-07-15,0.366666675,21.91333326,0
2008-07-16,1.300000012,17.90333366,0
2008-07-17,0.133333335,21.60999997,0
2008-07-18,0,22.69333331,0
2008-07-19,0,22.61666679,0
2008-07-20,0,21.96333377,0
2008-07-21,0.100000001,21.42999967,0
2008-07-22,3.400000016,14.04999987,0
2008-07-23,15.63333352,12.75333341,0
2008-07-24,64.43333435,12.79333337,2.8083
2008-07-25,17.59999975,16.51000023,7.8469
2008-07-26,0.233333337,18.87666639,1.2251
2008-07-27,0,17.87666702,0.3841
2008-07-28,5.100000064,14.09333356,0.1386
2008-07-29,0.50000001,16.66666698,0.0789
2008-07-30,0,18.76999982,0.0479
2008-07-31,0,20.93333371,0.0342
2008-08-01,0,24,0.0236
2008-08-02,0,20.58666674,0.0174
2008-08-03,0,20.28000005,0.0149
2008-08-04,0,21.95333354,0.0143
2008-08-05,0,21.75,0.0131
2008-08-06,1.133333325,20.07666651,0.0118
2008-08-07,0,19.64000066,0.0099
2008-08-08,0,18.92666626,0.0087
2008-08-09,0,19.49666595,0.0062
2008-08-10,0,20.82666651,0.0044
2008-08-11,0,17.31333288,0.0037
2008-08-12,0,17.16999944,0.0031
2008-08-13,0,18.68333308,0.0019
2008-08-14,0,18.4399999,0.0012
2008-08-15,0,19.03666687,6e-04
2008-08-16,0,18.35666656,0
2008-08-17,0,19.49000041,0
2008-08-18,0,12.53666687,0
2008-08-19,1.933333317,18.77333323,0
2008-08-20,0,20.30333328,0
2008-08-21,0,21.46999995,0
2008-08-22,0,24.25666618,0
2008-08-23,0.333333343,19.13666662,0
2008-08-24,0,20.77666664,0
2008-08-25,0,20.30666606,0
2008-08-26,0,22.58333333,0
2008-08-27,0,23.54666646,0
2008-08-28,0,22.84999975,0
2008-08-29,0,23.5600001,0
2008-08-30,0,24.48000018,0
2008-08-31,0,25.09000015,0
2008-09-01,0.400000006,23.81666629,0
2008-09-02,0.366666675,22.90666707,0
2008-09-03,6.633333524,20.89666684,0
2008-09-04,4.566666603,17.77333387,0
2008-09-05,11.66666635,23.52000046,0
2008-09-06,0,22.31999969,0
2008-09-07,0,22.97333272,0
2008-09-08,0,22.3799998,0
2008-09-09,0,23.09333356,0
2008-09-10,0,22.59666634,0
2008-09-11,0,22.55333328,0
2008-09-12,0,24.95999972,0
2008-09-13,0,25.13333321,0
2008-09-14,0,24.3233331,0
2008-09-15,0,26.57666715,0
2008-09-16,0,27.59333356,0
2008-09-17,0,24.35666593,0
2008-09-18,3.366666635,24.96333313,0
2008-09-19,0,26.17333285,0
2008-09-20,0,27.78333346,0
2008-09-21,0,27.99333318,0
2008-09-22,0,26.20666631,0
2008-09-23,0,26.0733331,0
2008-09-24,0,25.81999969,0
2008-09-25,4.266666651,23.59666634,0
2008-09-26,0,24.30999947,0
2008-09-27,0,26.26000023,0
2008-09-28,0,27.76666641,0
2008-09-29,0,30.55666669,0
2008-09-30,0,27.17000008,0
2008-10-01,0,26.22333399,0
2008-10-02,0,25.70333354,0
2008-10-03,0,27.37666702,0
2008-10-04,0,27.23333359,0
2008-10-05,0,28.25,0
2008-10-06,0,30.29666646,0
2008-10-07,0,29.73666636,0
2008-10-08,0,24.84666697,0
2008-10-09,0.033333334,23.45333354,0
2008-10-10,5.099999905,19.74000041,0
2008-10-11,18.83333333,22.88333321,0
2008-10-12,1.433333317,22.3566672,0
2008-10-13,0.333333338,25.59999975,0
2008-10-14,0.666666687,27.84666697,0
2008-10-15,0,28.93999926,0
2008-10-16,5.766666571,25.65000025,0
2008-10-17,35.5333341,24,0
2008-10-18,0,24.59666634,0
2008-10-19,0,24.54999987,0
2008-10-20,0,26.263333,0
2008-10-21,0,27.70333354,0
2008-10-22,0.066666668,27.86666679,0
2008-10-23,0,24.10999997,0
2008-10-24,0,24.78333346,0
2008-10-25,0,25.75333405,0
2008-10-26,0,26.36666679,0
2008-10-27,0,26.27666664,0
2008-10-28,0,27.32000033,0
2008-10-29,0,27.78333346,0
2008-10-30,0,28.39333344,0
2008-10-31,0,29.31666692,0
2008-11-01,0,30.86333402,0
2008-11-02,0,27.6200002,0
2008-11-03,0.100000001,28.96000036,0
2008-11-04,0,32.90333303,0
2008-11-05,0,29.53000005,0
2008-11-06,0.300000012,31.66333262,0
2008-11-07,0,32.05333328,0
2008-11-08,0,28.48000018,0
2008-11-09,26.20000076,27.33666674,0
2008-11-10,0.066666668,27.44666672,0
2008-11-11,0,28.06999969,0
2008-11-12,0,28.22333272,0
2008-11-13,0,29.04666646,0
2008-11-14,0,30.12333361,0
2008-11-15,0,30.94333331,0
2008-11-16,0,31.59000015,0
2008-11-17,5.066666603,27.95999972,0
2008-11-18,0.333333338,26.89666621,0
2008-11-19,0,30.30333265,0
2008-11-20,1.599999984,31.16666667,0
2008-11-21,2.566666683,31.38666662,0
2008-11-22,0,28.50333341,0
2008-11-23,0.300000007,27.37333361,0
2008-11-24,0,30.41666667,0
2008-11-25,0,31.96333377,0
2008-11-26,0,30.5733331,0
2008-11-27,0.066666668,28.8100001,0
2008-11-28,0,29.9399999,0
2008-11-29,16.63333321,26.51000023,0
2008-11-30,0,29.89000003,0
2008-12-01,0,30.93333308,0
2008-12-02,0,31.37666702,0
2008-12-03,0,32.14000003,0
2008-12-04,2.466666619,33.10666656,0
2008-12-05,0.066666668,33.16333262,0
2008-12-06,0,34.33333333,0
2008-12-07,0,32.87666702,0
2008-12-08,17.10000006,24.25,0
2008-12-09,17.26666641,29.77666664,0
2008-12-10,0,31.06333351,0
2008-12-11,1.299999992,31.91333326,0
2008-12-12,0,30.98333295,0
2008-12-13,0,33.13000107,0
2008-12-14,17.36666679,30.82000033,0
2008-12-15,0,30.04333305,0
2008-12-16,0,29.89999962,0
2008-12-17,0,30.63666662,0
2008-12-18,0,31.81333288,0
2008-12-19,0,33.15000025,0
2008-12-20,0,30.74666659,0
2008-12-21,15.79999987,27.57333374,0
2008-12-22,0,28.3233331,0
2008-12-23,0,29.19666672,0
2008-12-24,0,31.77333323,0
2008-12-25,0,32.85000102,0
2008-12-26,26.96666718,31.19666672,0
2008-12-27,0.100000001,31.13333321,0
2008-12-28,0.100000004,25.61333338,0
2008-12-29,1.799999992,32.29666773,0
2008-12-30,0,35.0333341,0
2008-12-31,0,37.30000051,0
2009-01-01,0.700000008,34.85333252,0
2009-01-02,8.133333365,24.56333288,0
2009-01-03,32.76666641,29.04333305,0
2009-01-04,0.100000001,26.42666626,0
2009-01-05,0,28.75999959,0
2009-01-06,0,30.35333379,0
2009-01-07,0,29.5,0
2009-01-08,0.166666672,30.03000005,0
2009-01-09,27.26666705,27.79999987,0
2009-01-10,1.799999992,26.54999987,0
2009-01-11,0,28.68333371,0
2009-01-12,0,28.44666735,0
2009-01-13,0,26.78999964,0
2009-01-14,0.233333337,29.72666677,0
2009-01-15,0,28.80666606,0
2009-01-16,0,32.2966671,0
2009-01-17,0,33.49000041,0
2009-01-18,0.733333314,27.15333366,0
2009-01-19,0.033333334,28.86333338,0
2009-01-20,0,29.81333288,0
2009-01-21,0.266666676,29.89666684,0
2009-01-22,9.433333079,31.58333397,0
2009-01-23,0,30.8100001,0
